,,U+0900,U+0980,U+0A00,U+0A80,U+0B00,U+0B80,U+0C00,U+0C80,U+0D00
30,n,ञ,ঞ,ဉ,ઞ,ଞ,ஞ,ఞ,ಞ,ഞ
31,t,ट,ট,ਟ,ਟ,ଟ,ட,ట,ಟ,ට
32,T,ठ,ठ,ਠ,ਠ,ଠ,,ಠ,ಠ,ඨ
33,d,ड,ড,ਡ,ਡ,ଡ,,డ,ಡ,ဍ
34,D,ढ,ঢ,ਢ,ਢ,ଢ,,ఢ,ಢ,ඪ
35,n,ण,ণ,ਣ,ਣ,ଣ,ண,ణ,ण,ണ
36,j,त,ত,ਤ,ਤ,ਤ,த,త,ತ,ත
37,J,थ,थ,ਥ,ਥ,ଥ,,ഥ,ഥ,ථ
38,q,द,দ,ਦ,ਦ,ದ,,ద,ದ,ದ
39,Q,ध,ध,ਧ,ਧ,ଧ,,ಧ,ಧ,ධ
40,n,न,ন,ਨ,ਨ,ନ,ந,న,ನ,ന
41,n,ऩ,,,,,,న,,
42,p,प,প,प,प,ପ,ப,ప,ಪ,ပ
43,f,फ,फ,ਫ,ਫ,ଫ,,ဖ,ඵ,ඵ
44,b,ब,ব,ਬ,ਬ,ବ,,బ,ಬ,බ
45,B,भ,ভ,ਭ,ਭ,ଭ,,ಭ,ಭ,භ
46,m,म,മ,മ,മ,ମ,ம,మ,ಮ,മ
47,y,य,য,ਯ,ਯ,ଯ,ய,ය,ය,ය
48,r,र,র,ਰ,ਰ,ର,ர,ర,ರ,ര
49,r,ऱ,,,,,,ఱ,ఱ,റ
50,l,ल,ল,ਲ,ਲ,ଲ,ல,ల,ಲ,ല
51,l,ळ,ল,ਲ,ळ,ଳ,ள,ళ,ള,ള
52,l,ऴ,,,,,,ฦ,,
53,w,व,঵,ਵ,ව,ଵ,வ,в,ವ,വ
54,S,श,শ,ਸ਼,ਸ਼,ଶ,ஶ,ශ,ශ,ශ
55,s,ष,ষ,ष,ष,ଷ,ஷ,ෂ,ෂ,ෂ
56,s,स,স,ਸ,ਸ,ସ,ஸ,స,స,സ
57,v,ह,ह,ਹ,ਹ,ह,ஹ,హ,హ,හ
58,oe,ऺ,,,,,,,,,
59,ui,ऻ,,,,,,,,,
60,,़,़,़,़,़,,़,़,़
61,!,ऽ,ऽ,,ऽ,ऽ,,ऽ,ऽ,ऽ
62,a,ा,ा,ਾ,ા,ା,ா,ा,ा,ा
63,i,ि,ि,ਿ,ਿ,ି,ி,ి,ಿ,ി
64,ii,ी,ী,ੀ,ੀ,ီ,ீ,ీ,ီ,ീ
65,u,ु,ु,ੁ,ੁ,ୁ,ു,ు,ു,ു
66,uu,ू,ূ,ੂ,ੂ,ୂ,ூ,ూ,ೂ,ೂ
67,ri,ृ,ृ,,ृ,ୃ,,ృ,ೃ,ൃ
68,r,ॄ,ৄ,,,,,ॄ,ॄ,
69,e,ॅ,,,,,,,,,
70,ei,ॆ,,,,,,,,,
71,e,े,े,ੇ,ੇ,େ,ே,ే,ೇ,ே
72,ei,ै,ৈ,ੈ,ੈ,ୈ,ை,ై,ೈ,ൈ
73,o,ॉ,,,,,,,,,
74,oe,ॊ,,,,,,,,,
75,o,ो,ো,ੋ,ੋ,ୋ,ோ,ో,ో,ോ
76,xu,ौ,ौ,ੌ,ੌ,ौ,ௌ,ौ,ौ,ෞ
77,,्,्,੍,्,୍,்,్,್,്
78,,ॎ,,,,,,,,,
79,ou,ॏ,,,,,,,,,
80,om,ॐ,ॐ,,,,,ఓం,ॐ,ௐ
81,,॑,,,,,,,,,
82,,॒,,,,,,,,,
83,`,॓,,,,,,,,,
84,',॔,,,,,,,,,
85,eei,ॕ,,,,,,,,,
86,ui,ॖ,,,,,,,,,
87,uui,ॗ,,,,,,,,,
88,k,क़,क़,,,,,,,,,
89,K,ख़,ਖ਼,,,,,,,,,
90,g,ग़,ਗ਼,,,,,,,,,
91,z,ज़,ਜ਼,ਜ਼,ਜ਼,,,,,,
92,R,ड़,ড়,,,,,,,,,
93,R,ढ़,ढ़,,,,,,,,,
94,f,फ़,फ़,फ़,,,,,,,,,
95,y,य़,য়,,,,,,,,,
96,ri,ॠ,ৠ,,,,,ౠ,ೠ,ൠ
97,li,ॡ,ৡ,,,,,ౡ,ೡ,ൡ
98,li,ॢ,ॢ,,,,,,,,,
99,li,ॣ,ৣ,,,,,,,,,
100,.,।,।,,,,,,,,,
101,.,॥,॥,,,,,,,,,
102,0,०,०,੦,૦,୦,௦,౦,೦,൦
103,1,१,১,੧,૧,୧,௧,౧,೧,൧
104,2,२,২,੨,૨,୨,௨,౨,೨,൨
105,3,३,৩,੩,੩,୩,௩,౩,೩,൩
106,4,४,৪,੪,૪,୪,௪,౪,೪,൪
107,5,५,৫,੫,੫,,௫,౫,೫,൫
108,6,६,६,੬,૬,,௬,౬,೬,൬
109,7,७,૭,੭,૭,୭,௭,౭,೭,൭
110,8,८,৮,੮,೮,೮,௮,౮,೮,൮
111,9,९,৯,੯,੯,୯,௯,౯,೯,൯
112,_,॰,,,,,,,,,
113,__,ॱ,,,,,,,,,
114,x,ॲ,,,,,,,,,
115,xo,ॳ,,,,,,,,,
116,xo,ॴ,,,,,,,,,
117,xo,ॵ,,,,,,,,,
118,ui,ॶ,,,,,,,,,
119,ui,ॷ,,,,,,,,,
120,q,ॸ,,,,,,,,,
121,Z,ॹ,,,,,,,,,
122,y,ॺ,,,,,,,,,
123,n,ॻ,,,,,,,,,
124,z,ॼ,,,,,,,,,
125,?,ॽ,,,,,,,,,
126,d,ॾ,,,,,,,,,
127,b,ॿ,,,,,,,,,
